tau_none,tau_split,tau_rest,node_reduction_pct,cost_reduction_pct,none_forced_wrong_pct,true_split_lost_pct,true_rect_lost_pct,rect_off_coverage_pct,rect_off_wrong_pct,label
0.50,0.70,-1.00,85.54964912175204,85.4564425102486,39.380346909397424,48.32904705152598,49.2524790740386,0.0,0.0,
0.50,0.90,-1.00,85.54964912175204,77.61363406345632,39.380346909397424,48.32904705152598,49.2524790740386,0.0,0.0,
0.70,0.70,-1.00,71.39122699146708,71.09729211423348,26.4130880789238,32.563802571695675,26.387329075399716,0.0,0.0,
0.70,0.90,-1.00,71.39122699146708,62.88776876180977,26.4130880789238,32.563802571695675,26.387329075399716,0.0,0.0,
0.80,0.70,-1.00,60.81106018148253,62.030295600168195,21.66646546751975,24.44174159533993,17.149138228013538,0.0,0.0,
0.80,0.90,-1.00,60.81106018148253,53.735413277853304,21.66646546751975,24.44174159533993,17.149138228013538,0.0,0.0,
0.90,0.70,-1.00,48.546670264646984,52.0765319697044,18.171598711794374,16.89625180442534,10.436981620580134,0.0,0.0,
0.90,0.90,-1.00,48.546670264646984,43.728631303714536,18.171598711794374,16.89625180442534,10.436981620580134,0.0,0.0,
0.95,0.70,-1.00,42.421935603167825,47.059767973014004,17.031134902917806,13.942047930283225,8.039529538850177,0.0,0.0,
0.95,0.90,-1.00,42.421935603167825,38.690325670398146,17.031134902917806,13.942047930283225,8.039529538850177,0.0,0.0,
0.97,0.70,-1.00,39.97208308027204,45.01566636026055,16.628616826791024,12.860560974878975,7.202776101388051,0.0,0.0,
0.97,0.90,-1.00,39.97208308027204,36.639819787296425,16.628616826791024,12.860560974878975,7.202776101388051,0.0,0.0,
0.99,0.70,-1.00,37.58552093543479,43.00295172382132,16.279425156871795,11.85149928605426,6.449382186603769,0.0,0.0,
0.99,0.90,-1.00,37.58552093543479,34.622184567774354,16.279425156871795,11.85149928605426,6.449382186603769,0.0,0.0,
0.99,0.70,-1.00,36.99057634834062,42.49313716386189,16.19523368122673,11.596477168307942,6.278237274401669,0.0,0.0,
0.99,0.90,-1.00,36.99057634834062,34.1114121843904,16.19523368122673,11.596477168307942,6.278237274401669,0.0,0.0,
1.00,0.70,-1.00,36.546566534573685,42.106952775549004,16.125522771561226,11.415026444399812,6.137155359191129,0.0,0.0,
1.00,0.90,-1.00,36.546566534573685,33.72372532796062,16.125522771561226,11.415026444399812,6.137155359191129,0.0,0.0,
