tau_none,tau_split,tau_rest,node_reduction_pct,cost_reduction_pct,none_forced_wrong_pct,true_split_lost_pct,true_rect_lost_pct,rect_off_coverage_pct,rect_off_wrong_pct,label
0.50,0.70,-1.00,95.75898091967986,91.49190284456863,63.11930045674467,80.33753300788291,85.30292356463544,0.0,0.0,
0.50,0.90,-1.00,95.75898091967986,90.76906543352987,63.11930045674467,80.33753300788291,85.30292356463544,0.0,0.0,
0.70,0.70,-1.00,86.0912065461193,78.08625001695493,40.07839539635545,49.249793666805395,50.4992121277983,0.0,0.0,
0.70,0.90,-1.00,86.0912065461193,77.35920569518886,40.07839539635545,49.249793666805395,50.4992121277983,0.0,0.0,
0.80,0.70,-1.00,76.46992278874544,67.53989209357455,29.890250150968946,37.160477627607925,32.896914756433205,0.0,0.0,
0.80,0.90,-1.00,76.46992278874544,66.81202141434419,29.890250150968946,37.160477627607925,32.896914756433205,0.0,0.0,
0.90,0.70,-1.00,59.676418546335775,52.63860320547399,21.246952359921224,23.666254955475427,16.334712836363,0.0,0.0,
0.90,0.90,-1.00,59.676418546335775,51.9105071560261,21.246952359921224,23.666254955475427,16.334712836363,0.0,0.0,
0.95,0.70,-1.00,48.243955092394934,43.31591165904825,18.1106108015976,16.74746364136139,10.298330608510447,0.0,0.0,
0.95,0.90,-1.00,48.243955092394934,42.58774048619451,18.1106108015976,16.74746364136139,10.298330608510447,0.0,0.0,
0.97,0.70,-1.00,43.58998884525879,39.47825751260143,17.203647416413375,14.476852502812148,8.432125040243196,0.0,0.0,
0.97,0.90,-1.00,43.58998884525879,38.75008633974769,17.203647416413375,14.476852502812148,8.432125040243196,0.0,0.0,
0.99,0.70,-1.00,38.76000093206733,35.45438705039424,16.433087764350912,12.34849964752546,6.792768909237288,0.0,0.0,
0.99,0.90,-1.00,38.76000093206733,34.726215877540504,16.433087764350912,12.34849964752546,6.792768909237288,0.0,0.0,
0.99,0.70,-1.00,37.58277735016266,34.45132055470288,16.278257398073755,11.850085925127203,6.448119946073583,0.0,0.0,
0.99,0.90,-1.00,37.58277735016266,33.72314938184914,16.278257398073755,11.850085925127203,6.448119946073583,0.0,0.0,
1.00,0.70,-1.00,36.652833484668996,33.65026924437331,16.135929208058233,11.457727046232051,6.16615286488785,0.0,0.0,
1.00,0.90,-1.00,36.652833484668996,32.92209807151957,16.135929208058233,11.457727046232051,6.16615286488785,0.0,0.0,
