pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
convnext_ce_h9_f256,0.9,2.787,0.384,2050152553.0,52.4642,0.0016,98787,95.5
convnext_ce_h9_f256,0.93,1.992,0.169,1194551082.0,30.31,0.0009,70092,96.8
convnext_ce_h9_f256,0.95,1.396,0.061,676024897.0,18.3839,0.0005,50423,97.8
convnext_ce_h9_f256,0.97,0.738,0.017,193808593.0,7.1221,0.0002,26607,98.9
convnext_ce_h9_f256,0.99,0.097,0.001,11255575.0,0.8374,0.0,2662,98.9
convnext_regret,0.5,32.712,9.16,60686872740.0,1663.4392,0.0476,671367,96.1
convnext_regret,0.6,25.973,5.828,29834546556.0,833.217,0.0234,527996,95.3
convnext_regret,0.7,16.735,2.983,11367624098.0,326.1309,0.0089,300202,94.4
convnext_regret,0.75,9.72,1.734,6812445141.0,198.9574,0.0053,230678,94.8
convnext_regret,0.8,4.69,0.983,4137173855.0,128.2147,0.0032,179791,95.2
convnext_regret,0.85,3.159,0.75,2405852581.0,78.2623,0.0019,131316,94.5
convnext_regret,0.9,2.082,0.517,1191581638.0,46.3787,0.0009,88459,93.9
convnext_regret,0.93,1.547,0.366,685466807.0,31.6607,0.0005,65335,93.8
convnext_regret,0.95,1.182,0.235,399443066.0,21.0928,0.0003,48834,94.4
convnext_regret,0.97,0.752,0.075,203297483.0,12.8746,0.0002,29879,96.6
convnext_regret,0.99,0.249,0.006,41189382.0,3.5239,0.0,7080,99.3
H9a,0.5,39.98,4.658,36164880486.0,527.7291,0.0283,1271858,97.9
H9a,0.6,35.582,3.667,19579631286.0,331.5392,0.0153,1249773,97.8
H9a,0.7,31.321,2.865,11147436940.0,198.784,0.0087,1194181,97.8
H9a,0.75,29.126,2.405,8042946563.0,150.6812,0.0063,1144430,97.9
H9a,0.8,26.779,1.894,5914278195.0,112.7952,0.0046,1074802,98.0
H9a,0.85,24.053,1.362,3900464191.0,78.055,0.0031,974307,98.3
H9a,0.9,20.727,0.866,1769779946.0,42.9304,0.0014,831208,98.6
H9a,0.93,18.145,0.604,1200293947.0,25.952,0.0009,724377,98.9
H9a,0.95,15.55,0.46,617035797.0,17.043,0.0005,639283,99.0
H9a,0.97,11.306,0.301,303932283.0,9.091,0.0002,519797,99.3
H9a,0.99,4.735,0.063,30377647.0,1.6558,0.0,267613,99.7
H9a_b1,0.5,41.309,4.371,44555491022.0,647.5356,0.0349,1253572,98.4
H9a_b1,0.6,37.047,3.064,26112554592.0,418.0093,0.0205,1246254,98.5
H9a_b1,0.7,32.88,2.134,14304306638.0,260.0811,0.0112,1214482,98.6
H9a_b1,0.75,30.719,1.736,10433210848.0,201.1511,0.0082,1181842,98.6
H9a_b1,0.8,28.38,1.382,7584464237.0,151.0244,0.0059,1129020,98.7
H9a_b1,0.85,25.692,1.005,4986850589.0,101.1642,0.0039,1045503,98.9
H9a_b1,0.9,22.401,0.662,2584647232.0,60.1383,0.002,918726,99.1
H9a_b1,0.93,19.79,0.47,1390202178.0,36.2025,0.0011,818544,99.3
H9a_b1,0.95,17.45,0.341,707221331.0,24.5999,0.0006,738982,99.5
H9a_b1,0.97,13.625,0.207,288853221.0,13.2167,0.0002,643848,99.6
H9a_b1,0.99,6.947,0.063,45817273.0,4.1348,0.0,440554,99.8
H9a_cw,0.5,32.471,2.91,20067701315.0,214.599,0.0157,936078,98.0
H9a_cw,0.6,27.716,1.829,11948790682.0,135.8568,0.0094,858478,98.4
H9a_cw,0.7,23.227,1.022,6843659876.0,80.6104,0.0054,750149,98.8
H9a_cw,0.75,21.12,0.733,5198717187.0,57.79,0.0041,685992,99.0
H9a_cw,0.8,19.075,0.518,3762677575.0,43.1625,0.0029,616999,99.2
H9a_cw,0.85,17.024,0.346,2073402766.0,27.866,0.0016,539513,99.3
H9a_cw,0.9,14.582,0.221,674655615.0,11.6778,0.0005,446614,99.5
H9a_cw,0.93,12.355,0.154,287580233.0,6.9906,0.0002,376574,99.6
H9a_cw,0.95,9.904,0.11,151658768.0,4.1721,0.0001,320544,99.6
H9a_cw,0.97,6.116,0.063,125439796.0,2.8301,0.0001,246568,99.7
H9a_cw,0.99,2.148,0.008,19768759.0,0.6406,0.0,114867,99.9
H9c,0.5,42.555,3.054,38562381917.0,552.9421,0.0302,1164932,100.0
H9c,0.6,39.42,2.0,23204013209.0,349.5106,0.0182,1139914,100.0
H9c,0.7,36.213,1.228,13261677172.0,197.7909,0.0104,1102427,100.0
H9c,0.75,34.511,0.92,9804785181.0,148.8015,0.0077,1076268,100.0
H9c,0.8,32.636,0.659,6983597094.0,106.1946,0.0055,1043059,100.0
H9c,0.85,30.493,0.439,4893017069.0,71.2167,0.0038,994758,100.0
H9c,0.9,27.815,0.257,2597341963.0,39.9194,0.002,921880,100.0
H9c,0.93,25.765,0.168,1561081926.0,23.0117,0.0012,859869,100.0
H9c,0.95,24.029,0.118,1001269495.0,14.8008,0.0008,808195,100.0
H9c,0.97,21.685,0.067,540107804.0,6.9403,0.0004,741219,100.0
H9c,0.99,17.574,0.021,169123180.0,1.943,0.0001,631891,100.0
regret,0.5,83.049,59.984,1109285529761.0,9159.8849,0.8695,564135,94.0
regret,0.6,77.236,52.114,731850881888.0,7785.1795,0.5737,683086,94.5
regret,0.7,70.734,45.216,473158169737.0,6507.7874,0.3709,800806,94.8
regret,0.75,66.895,40.896,375508860394.0,5811.269,0.2944,864902,95.0
regret,0.8,62.181,35.456,291809248202.0,4954.2059,0.2287,930030,95.0
regret,0.85,56.36,29.408,221056954418.0,4002.1288,0.1733,983576,95.0
regret,0.9,49.246,23.398,160015882241.0,3011.3538,0.1254,1006681,94.9
regret,0.93,44.427,20.11,130189805290.0,2468.9896,0.1021,994167,94.8
regret,0.95,40.97,18.061,112448938308.0,2134.4225,0.0881,972302,94.7
regret,0.97,37.386,16.136,96894032533.0,1837.7062,0.076,938673,94.6
regret,0.99,33.705,14.313,82513578599.0,1557.5286,0.0647,893200,94.4
GNN,0.5,43.131,1.284,1709650317.0,166.728,0.0013,1259359,98.8
GNN,0.6,39.928,1.056,925539999.0,103.9287,0.0007,1205513,98.8
GNN,0.7,36.257,0.841,591628164.0,71.4715,0.0005,1140169,98.7
GNN,0.75,34.135,0.683,422197657.0,55.6287,0.0003,1089564,98.8
GNN,0.8,31.691,0.492,300109804.0,42.5144,0.0002,1018486,98.9
GNN,0.85,28.79,0.293,199904693.0,28.9062,0.0002,924165,99.2
GNN,0.9,25.22,0.15,128053726.0,18.3146,0.0001,804239,99.5
GNN,0.93,22.428,0.105,71736375.0,10.5507,0.0001,712982,99.6
GNN,0.95,20.031,0.08,58439678.0,8.7016,0.0,636825,99.7
GNN,0.97,16.706,0.036,37615775.0,5.6323,0.0,533934,99.8
GNN,0.99,11.338,0.003,21690916.0,2.9995,0.0,359018,99.9
GNN_causal,0.5,40.057,5.301,24956607302.0,522.6036,0.0196,1329973,97.8
GNN_causal,0.6,36.034,4.067,14412114654.0,322.7312,0.0113,1319715,97.8
GNN_causal,0.7,31.863,3.039,8613935897.0,194.2329,0.0068,1281733,97.8
GNN_causal,0.75,29.582,2.576,6501762670.0,147.9056,0.0051,1242851,97.8
GNN_causal,0.8,27.12,2.121,4658649909.0,104.651,0.0037,1178907,97.9
GNN_causal,0.85,24.299,1.56,3162354029.0,71.9973,0.0025,1076496,98.1
GNN_causal,0.9,20.686,0.955,1677704640.0,40.1296,0.0013,922048,98.5
GNN_causal,0.93,17.901,0.629,889566883.0,21.5541,0.0007,803732,98.9
GNN_causal,0.95,15.464,0.468,395632469.0,11.9352,0.0003,707527,99.1
GNN_causal,0.97,12.092,0.305,133858398.0,5.0596,0.0001,577452,99.3
GNN_causal,0.99,6.399,0.092,16016617.0,0.6726,0.0,332082,99.6
RPP_A_s0,0.5,42.467,6.959,49390612873.0,692.5968,0.0387,1167209,97.2
RPP_A_s0,0.6,36.983,5.619,24470096973.0,421.1061,0.0192,1188830,97.1
RPP_A_s0,0.7,29.172,3.934,11299351785.0,248.7866,0.0089,1237200,97.4
RPP_A_s0,0.75,25.302,3.231,7475410162.0,192.5877,0.0059,1222639,97.5
RPP_A_s0,0.8,21.918,2.507,5002439884.0,141.5298,0.0039,1165181,97.7
RPP_A_s0,0.85,18.811,1.836,3023833554.0,92.4608,0.0024,1056156,98.0
RPP_A_s0,0.9,15.499,1.236,1736151391.0,55.2591,0.0014,902333,98.4
RPP_A_s0,0.93,13.133,0.927,1087239719.0,34.8943,0.0009,781101,98.7
RPP_A_s0,0.95,11.171,0.704,771760451.0,24.3415,0.0006,674253,98.9
RPP_A_s0,0.97,8.519,0.407,423941908.0,13.4709,0.0003,519207,99.2
RPP_A_s0,0.99,3.749,0.038,162900079.0,3.388,0.0001,219701,99.8
RPP_A_s1,0.5,42.455,6.822,43584555728.0,670.913,0.0342,1263902,97.3
RPP_A_s1,0.6,36.737,5.508,20433646903.0,407.2804,0.016,1295541,97.2
RPP_A_s1,0.7,29.115,3.901,9154073836.0,236.4168,0.0072,1329090,97.5
RPP_A_s1,0.75,25.153,3.167,6324554803.0,184.7885,0.005,1308803,97.6
RPP_A_s1,0.8,21.91,2.494,4016463146.0,133.3248,0.0031,1239042,97.8
RPP_A_s1,0.85,18.933,1.881,2775063418.0,93.0283,0.0022,1116887,98.1
RPP_A_s1,0.9,15.567,1.255,1738668144.0,58.1738,0.0014,941080,98.5
RPP_A_s1,0.93,13.151,0.906,1130731609.0,37.8401,0.0009,805905,98.8
RPP_A_s1,0.95,11.149,0.66,790720128.0,26.975,0.0006,689287,99.0
RPP_A_s1,0.97,8.522,0.36,431034739.0,14.6601,0.0003,531378,99.3
RPP_A_s1,0.99,3.718,0.031,160603001.0,4.5753,0.0001,229867,99.8
RPP_A_s2,0.5,41.545,6.853,47471077479.0,683.7208,0.0372,1217368,97.2
RPP_A_s2,0.6,36.163,5.241,21574612917.0,399.044,0.0169,1234348,97.3
RPP_A_s2,0.7,29.124,3.604,10258912625.0,235.9037,0.008,1250985,97.6
RPP_A_s2,0.75,25.357,2.843,7120670787.0,178.8747,0.0056,1227636,97.7
RPP_A_s2,0.8,21.701,2.232,4580395632.0,131.7419,0.0036,1164674,97.9
RPP_A_s2,0.85,18.62,1.627,2911311959.0,87.6533,0.0023,1054159,98.2
RPP_A_s2,0.9,15.475,1.157,1809768328.0,55.9563,0.0014,900963,98.5
RPP_A_s2,0.93,13.131,0.853,1310509177.0,38.4282,0.001,774157,98.8
RPP_A_s2,0.95,11.182,0.617,922476728.0,26.5763,0.0007,663364,99.0
RPP_A_s2,0.97,8.493,0.348,592090448.0,17.6188,0.0005,505395,99.3
RPP_A_s2,0.99,3.716,0.048,98272437.0,2.7419,0.0001,199587,99.7
RPP_A_B_s0,0.5,40.598,5.107,32784206958.0,567.5583,0.0257,1259227,97.9
RPP_A_B_s0,0.6,36.142,3.979,19490015345.0,370.4362,0.0153,1253672,97.8
RPP_A_B_s0,0.7,31.841,2.917,11197506346.0,233.3401,0.0088,1212321,97.9
RPP_A_B_s0,0.75,29.577,2.401,8159463052.0,178.8631,0.0064,1167831,98.0
RPP_A_B_s0,0.8,27.042,1.879,5958263847.0,130.4193,0.0047,1094695,98.1
RPP_A_B_s0,0.85,24.089,1.321,3598390134.0,87.5407,0.0028,982010,98.4
RPP_A_B_s0,0.9,20.53,0.833,2138826773.0,51.4375,0.0017,833206,98.7
RPP_A_B_s0,0.93,17.815,0.552,1193182097.0,29.8354,0.0009,723506,99.0
RPP_A_B_s0,0.95,15.185,0.426,790464722.0,20.1949,0.0006,635904,99.2
RPP_A_B_s0,0.97,10.631,0.346,386665214.0,10.5153,0.0003,516257,99.3
RPP_A_B_s0,0.99,4.622,0.052,97456715.0,2.2221,0.0001,244824,99.7
RPP_A_B_s1,0.5,40.328,4.887,35649036608.0,561.1916,0.0279,1266674,98.0
RPP_A_B_s1,0.6,36.0,3.877,19360018263.0,359.6182,0.0152,1261336,97.8
RPP_A_B_s1,0.7,31.948,2.938,11745943339.0,227.7975,0.0092,1220988,97.9
RPP_A_B_s1,0.75,29.786,2.473,8331915936.0,166.7408,0.0065,1181894,97.9
RPP_A_B_s1,0.8,27.422,1.948,5744962646.0,124.3024,0.0045,1120766,98.1
RPP_A_B_s1,0.85,24.674,1.388,3632545099.0,86.4983,0.0028,1023677,98.4
RPP_A_B_s1,0.9,21.278,0.885,2088661660.0,54.107,0.0016,876493,98.7
RPP_A_B_s1,0.93,18.559,0.604,1104828102.0,32.8814,0.0009,755252,99.0
RPP_A_B_s1,0.95,16.076,0.428,722196607.0,21.262,0.0006,653216,99.2
RPP_A_B_s1,0.97,11.862,0.282,361373743.0,10.6323,0.0003,522212,99.4
RPP_A_B_s1,0.99,4.716,0.079,142903576.0,3.4468,0.0001,264729,99.7
RPP_A_B_s2,0.5,40.111,5.05,36574700175.0,567.0211,0.0287,1205474,97.8
RPP_A_B_s2,0.6,35.62,3.888,20761938570.0,353.1161,0.0163,1209173,97.7
RPP_A_B_s2,0.7,31.195,2.891,10774691341.0,210.0261,0.0084,1179376,97.7
RPP_A_B_s2,0.75,28.916,2.394,7790723721.0,157.8144,0.0061,1140223,97.8
RPP_A_B_s2,0.8,26.485,1.891,5708586260.0,115.4973,0.0045,1074435,98.0
RPP_A_B_s2,0.85,23.73,1.377,3665141690.0,76.3455,0.0029,974994,98.2
RPP_A_B_s2,0.9,20.498,0.887,2293804128.0,47.2047,0.0018,831342,98.6
