tau_none,tau_split,tau_rest,node_reduction_pct,cost_reduction_pct,none_forced_wrong_pct,true_split_lost_pct,true_rect_lost_pct,rect_off_coverage_pct,rect_off_wrong_pct,label
0.60,0.70,-1.00,95.66831683168317,91.29828907641092,62.0,79.16666666666667,70.58823529411765,0.0,0.0,
0.60,0.90,-1.00,95.66831683168317,91.29828907641092,62.0,79.16666666666667,70.58823529411765,0.0,0.0,
0.70,0.70,-1.00,95.11138613861387,91.0428117984052,63.829787234042556,79.16666666666667,64.70588235294117,0.0,0.0,
0.70,0.90,-1.00,95.11138613861387,91.0428117984052,63.829787234042556,79.16666666666667,64.70588235294117,0.0,0.0,
0.80,0.70,-1.00,91.64603960396039,83.27010915847333,53.84615384615385,62.96296296296296,67.56756756756756,0.0,0.0,
0.80,0.90,-1.00,91.64603960396039,83.27010915847333,53.84615384615385,62.96296296296296,67.56756756756756,0.0,0.0,
0.90,0.70,-1.00,82.05445544554455,67.87953859255245,33.85826771653543,47.05882352941177,48.214285714285715,0.0,0.0,
0.90,0.90,-1.00,82.05445544554455,67.87953859255245,33.85826771653543,47.05882352941177,48.214285714285715,0.0,0.0,
0.95,0.70,-1.00,68.87376237623762,51.22706510799721,22.06896551724138,30.952380952380953,28.78787878787879,0.0,0.0,
0.95,0.90,-1.00,68.87376237623762,51.22706510799721,22.06896551724138,30.952380952380953,28.78787878787879,0.0,0.0,
