subset,cost_red_SL0.5,cost_red_SL1.0,cost_red_SL2.0,cost_red_SL3.0
var-thresh,0.0,0.0,0.0,0.0
variance,4.374,4.374,4.374,4.374
pixels24,39.975,43.056,43.056,43.056
H9a,38.559,42.249,44.145,44.145
H9b,40.55,44.103,45.867,45.867
H9c,42.771,44.822,46.755,60.855
