tag,dim,n,acc,macroF1,split_recall
L0,64,24000,0.8111,0.5277,0.9268
L0,32,88472,0.7027,0.6615,0.8266
L0,16,297584,0.8093,0.5313,0.0259
L2,64,24000,0.9525,0.6644,0.9998
L2,32,88472,0.8320,0.7945,0.9175
L2,16,297584,0.8573,0.6739,0.2404
