subset,tau_none,tau_rest,cost_red,none_wrong,split_lost,rect_off_wrong
H9a,0.7,0.3,69.78,11.25,2.295,10.78
H9a,0.8,-1.0,24.877,6.951,1.231,0.0
H9a,0.8,0.1,52.602,6.951,1.231,1.995
H9a,0.8,0.2,60.797,6.951,1.231,6.75
H9a,0.8,0.3,68.716,6.951,1.231,14.523
H9a,0.85,-1.0,20.141,4.932,0.929,0.0
H9a,0.85,0.1,49.693,4.932,0.929,2.197
H9a,0.85,0.2,60.05,4.932,0.929,9.101
H9a,0.85,0.3,67.992,4.932,0.929,14.493
H9a,0.9,-1.0,15.721,2.956,0.498,0.0
H9a,0.9,0.1,46.991,2.956,0.498,2.843
H9a,0.9,0.2,59.304,2.956,0.498,9.574
H9a,0.9,0.3,67.265,2.956,0.498,13.8
H9a,0.95,-1.0,10.689,1.303,0.139,0.0
H9a,0.95,0.1,46.052,1.303,0.139,4.074
H9a,0.95,0.2,58.468,1.303,0.139,8.626
H9a,0.95,0.3,66.463,1.303,0.139,12.198
H9b,0.5,-1.0,40.789,20.71,4.655,0.0
H9b,0.5,0.1,64.842,20.71,4.655,1.76
H9b,0.5,0.2,71.119,20.71,4.655,5.278
H9b,0.5,0.3,75.139,20.71,4.655,9.105
H9b,0.6,-1.0,36.43,15.603,3.196,0.0
H9b,0.6,0.1,61.388,15.603,3.196,1.802
H9b,0.6,0.2,68.073,15.603,3.196,5.421
H9b,0.6,0.3,72.398,15.603,3.196,9.361
H9b,0.7,-1.0,31.91,11.147,2.058,0.0
H9b,0.7,0.1,57.832,11.147,2.058,1.907
H9b,0.7,0.2,64.913,11.147,2.058,5.636
H9b,0.7,0.3,70.011,11.147,2.058,10.733
H9b,0.8,-1.0,24.867,6.991,1.2,0.0
H9b,0.8,0.1,53.386,6.991,1.2,2.122
H9b,0.8,0.2,61.458,6.991,1.2,6.763
H9b,0.8,0.3,68.961,6.991,1.2,14.419
H9b,0.85,-1.0,20.446,5.045,0.858,0.0
H9b,0.85,0.1,50.535,5.045,0.858,2.274
H9b,0.85,0.2,60.749,5.045,0.858,9.02
H9b,0.85,0.3,68.271,5.045,0.858,14.4
H9b,0.9,-1.0,16.151,3.075,0.512,0.0
H9b,0.9,0.1,47.774,3.075,0.512,2.844
H9b,0.9,0.2,60.003,3.075,0.512,9.585
H9b,0.9,0.3,67.543,3.075,0.512,13.779
H9b,0.95,-1.0,11.165,1.328,0.173,0.0
H9b,0.95,0.1,46.858,1.328,0.173,4.246
H9b,0.95,0.2,59.184,1.328,0.173,8.778
H9b,0.95,0.3,66.76,1.328,0.173,12.314
H9c,0.5,-1.0,39.663,13.825,1.894,0.0
H9c,0.5,0.1,63.36,13.825,1.894,2.114
H9c,0.5,0.2,68.739,13.825,1.894,5.094
H9c,0.5,0.3,72.415,13.825,1.894,8.754
H9c,0.6,-1.0,36.328,9.854,1.007,0.0
H9c,0.6,0.1,60.366,9.854,1.007,2.207
H9c,0.6,0.2,66.052,9.854,1.007,5.293
H9c,0.6,0.3,70.041,9.854,1.007,9.19
H9c,0.7,-1.0,33.012,6.53,0.483,0.0
H9c,0.7,0.1,57.409,6.53,0.483,2.271
H9c,0.7,0.2,63.405,6.53,0.483,5.5
H9c,0.7,0.3,67.948,6.53,0.483,10.068
H9c,0.8,-1.0,29.332,3.846,0.248,0.0
H9c,0.8,0.1,54.221,3.846,0.248,2.316
H9c,0.8,0.2,60.757,3.846,0.248,5.964
H9c,0.8,0.3,67.29,3.846,0.248,12.753
H9c,0.85,-1.0,26.956,2.617,0.126,0.0
H9c,0.85,0.1,52.263,2.617,0.126,2.368
H9c,0.85,0.2,60.308,2.617,0.126,7.636
H9c,0.85,0.3,66.861,2.617,0.126,12.801
H9c,0.9,-1.0,24.032,1.497,0.07,0.0
H9c,0.9,0.1,50.074,1.497,0.07,2.527
H9c,0.9,0.2,59.765,1.497,0.07,7.909
H9c,0.9,0.3,66.33,1.497,0.07,12.126
H9c,0.95,-1.0,19.749,0.503,0.024,0.0
H9c,0.95,0.1,49.267,0.503,0.024,3.484
H9c,0.95,0.2,59.0,0.503,0.024,7.104
H9c,0.95,0.3,65.583,0.503,0.024,10.682
