tag,dim,n,acc,macroF1,split_recall
L0,64,24000,0.8111,0.5277,0.9268
L0,32,88472,0.7027,0.6615,0.8266
L0,16,297584,0.8093,0.5313,0.0259
L2c,64,24000,0.8529,0.5819,0.9735
L2c,32,88472,0.7337,0.6990,0.8023
L2c,16,297584,0.8229,0.6210,0.1885
