subset,tau_none,tau_rest,cost_red,none_wrong,split_lost,rect_off_wrong
H9a,0.7,0.3,60.721,31.458,0.59,8.442
H9a,0.8,-1.0,6.129,26.796,0.365,0.0
H9a,0.8,0.1,38.559,26.796,0.365,3.77
H9a,0.8,0.2,54.239,26.796,0.365,6.299
H9a,0.8,0.3,60.194,26.796,0.365,13.624
H9a,0.85,-1.0,5.105,24.446,0.281,0.0
H9a,0.85,0.1,37.535,24.446,0.281,3.77
H9a,0.85,0.2,53.956,24.446,0.281,9.205
H9a,0.85,0.3,59.911,24.446,0.281,15.326
H9a,0.9,-1.0,3.912,21.607,0.196,0.0
H9a,0.9,0.1,36.373,21.607,0.196,3.902
H9a,0.9,0.2,53.629,21.607,0.196,11.528
H9a,0.9,0.3,59.584,21.607,0.196,16.675
H9a,0.95,-1.0,2.58,18.796,0.14,0.0
H9a,0.95,0.1,36.01,18.796,0.14,7.622
H9a,0.95,0.2,53.266,18.796,0.14,13.014
H9a,0.95,0.3,59.222,18.796,0.14,17.457
H9b,0.5,-1.0,11.391,39.079,1.123,0.0
H9b,0.5,0.1,45.867,39.079,1.123,3.504
H9b,0.5,0.2,58.575,39.079,1.123,5.248
H9b,0.5,0.3,62.757,39.079,1.123,7.091
H9b,0.6,-1.0,9.627,34.789,0.784,0.0
H9b,0.6,0.1,44.103,34.789,0.784,3.504
H9b,0.6,0.2,56.811,34.789,0.784,5.248
H9b,0.6,0.3,60.993,34.789,0.784,7.091
H9b,0.7,-1.0,7.898,30.612,0.528,0.0
H9b,0.7,0.1,42.374,30.612,0.528,3.504
H9b,0.7,0.2,55.082,30.612,0.528,5.248
H9b,0.7,0.3,59.413,30.612,0.528,7.784
H9b,0.8,-1.0,6.074,26.377,0.343,0.0
H9b,0.8,0.1,40.55,26.377,0.343,3.504
H9b,0.8,0.2,53.337,26.377,0.343,5.624
H9b,0.8,0.3,58.907,26.377,0.343,12.836
H9b,0.85,-1.0,5.027,23.883,0.281,0.0
H9b,0.85,0.1,39.503,23.883,0.281,3.504
H9b,0.85,0.2,53.048,23.883,0.281,8.799
H9b,0.85,0.3,58.619,23.883,0.281,14.704
H9b,0.9,-1.0,3.833,21.171,0.189,0.0
H9b,0.9,0.1,38.345,21.171,0.189,3.673
H9b,0.9,0.2,52.721,21.171,0.189,11.126
H9b,0.9,0.3,58.292,21.171,0.189,16.048
H9b,0.95,-1.0,2.493,18.336,0.138,0.0
H9b,0.95,0.1,37.98,18.336,0.138,7.291
H9b,0.95,0.2,52.357,18.336,0.138,12.654
H9b,0.95,0.3,57.927,18.336,0.138,16.862
H9c,0.5,-1.0,21.098,56.593,4.605,0.0
H9c,0.5,0.1,56.334,56.593,4.605,2.983
H9c,0.5,0.2,67.037,56.593,4.605,4.817
H9c,0.5,0.3,71.448,56.593,4.605,6.535
H9c,0.6,-1.0,18.108,52.516,3.246,0.0
H9c,0.6,0.1,53.345,52.516,3.246,2.983
H9c,0.6,0.2,64.047,52.516,3.246,4.817
H9c,0.6,0.3,68.458,52.516,3.246,6.535
H9c,0.7,-1.0,14.916,47.058,2.001,0.0
H9c,0.7,0.1,50.152,47.058,2.001,2.983
H9c,0.7,0.2,60.855,47.058,2.001,4.817
H9c,0.7,0.3,65.559,47.058,2.001,9.02
H9c,0.8,-1.0,11.518,40.152,1.096,0.0
H9c,0.8,0.1,46.755,40.152,1.096,2.983
H9c,0.8,0.2,57.621,40.152,1.096,6.404
H9c,0.8,0.3,64.572,40.152,1.096,22.682
H9c,0.85,-1.0,9.586,35.519,0.762,0.0
H9c,0.85,0.1,44.822,35.519,0.762,2.983
H9c,0.85,0.2,57.07,35.519,0.762,15.816
H9c,0.85,0.3,64.022,35.519,0.762,27.239
H9c,0.9,-1.0,7.448,29.989,0.421,0.0
H9c,0.9,0.1,42.771,29.989,0.421,3.918
H9c,0.9,0.2,56.47,29.989,0.421,21.776
H9c,0.9,0.3,63.422,29.989,0.421,30.231
H9c,0.95,-1.0,4.585,22.046,0.158,0.0
H9c,0.95,0.1,41.982,22.046,0.158,15.092
H9c,0.95,0.2,55.681,22.046,0.158,25.311
H9c,0.95,0.3,62.633,22.046,0.158,31.779
