pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
RPP_A_B_s2,0.8,26.485,1.891,5708586260.0,115.4973,0.0045,1074435,98.0
RPP_A_B_s2,0.85,23.73,1.377,3665141690.0,76.3455,0.0029,974994,98.2
RPP_A_B_s2,0.9,20.498,0.887,2293804128.0,47.2047,0.0018,831342,98.6
RPP_A_B_s2,0.93,17.971,0.655,1230732198.0,29.8981,0.001,719154,98.8
RPP_A_B_s2,0.95,15.632,0.505,660300504.0,17.9686,0.0005,627851,99.0
RPP_A_B_s2,0.97,11.517,0.342,272968946.0,9.1355,0.0002,508367,99.3
RPP_A_B_s2,0.99,4.636,0.063,113379713.0,3.6423,0.0001,279408,99.8
RPP_A_Bshuf_s0,0.5,42.259,7.223,45652422812.0,698.8669,0.0358,1164970,97.1
RPP_A_Bshuf_s0,0.6,36.374,5.623,21965546144.0,424.6094,0.0172,1202958,97.1
RPP_A_Bshuf_s0,0.7,28.65,3.971,9926414056.0,252.0496,0.0078,1239971,97.4
RPP_A_Bshuf_s0,0.75,24.674,3.248,6544895946.0,192.5086,0.0051,1221514,97.5
RPP_A_Bshuf_s0,0.8,21.225,2.556,4401590873.0,141.2603,0.0035,1159687,97.7
RPP_A_Bshuf_s0,0.85,18.194,1.835,2829908843.0,94.1032,0.0022,1045797,98.0
RPP_A_Bshuf_s0,0.9,14.794,1.177,1642205653.0,59.4697,0.0013,878309,98.5
RPP_A_Bshuf_s0,0.93,12.3,0.826,1043905526.0,38.2082,0.0008,740208,98.8
RPP_A_Bshuf_s0,0.95,10.249,0.585,705144377.0,24.1625,0.0006,617528,99.0
RPP_A_Bshuf_s0,0.97,7.515,0.282,345298322.0,11.7642,0.0003,442308,99.3
RPP_A_Bshuf_s0,0.99,2.86,0.022,21299147.0,0.7404,0.0,154089,99.8
RPP_A_Bshuf_s1,0.5,43.118,7.278,47215167390.0,720.2227,0.037,1226968,97.3
RPP_A_Bshuf_s1,0.6,37.803,5.753,22854843155.0,425.5708,0.0179,1259070,97.2
RPP_A_Bshuf_s1,0.7,30.71,4.294,9294865285.0,238.2736,0.0073,1297695,97.4
RPP_A_Bshuf_s1,0.75,26.473,3.499,6006429892.0,176.7751,0.0047,1293674,97.5
RPP_A_Bshuf_s1,0.8,22.451,2.749,3829930273.0,127.1856,0.003,1238294,97.7
RPP_A_Bshuf_s1,0.85,19.171,2.052,2677514129.0,92.2142,0.0021,1117566,98.0
RPP_A_Bshuf_s1,0.9,15.732,1.321,1689942960.0,59.2153,0.0013,940758,98.5
RPP_A_Bshuf_s1,0.93,13.194,0.89,1013211867.0,37.3319,0.0008,799449,98.8
RPP_A_Bshuf_s1,0.95,11.148,0.667,814672440.0,26.8395,0.0006,675273,99.0
RPP_A_Bshuf_s1,0.97,8.353,0.46,374531406.0,13.1996,0.0003,491585,99.2
RPP_A_Bshuf_s1,0.99,3.427,0.065,39003729.0,1.1543,0.0,167558,99.7
RPP_A_Bshuf_s2,0.5,42.064,6.977,47522021668.0,690.4115,0.0373,1117777,97.0
RPP_A_Bshuf_s2,0.6,36.802,5.504,22242241856.0,400.3263,0.0174,1148376,97.0
RPP_A_Bshuf_s2,0.7,29.19,4.064,10881499480.0,230.487,0.0085,1197973,97.3
RPP_A_Bshuf_s2,0.75,25.228,3.253,6484561859.0,166.6198,0.0051,1188899,97.5
RPP_A_Bshuf_s2,0.8,21.632,2.499,4452851234.0,123.4036,0.0035,1138708,97.7
RPP_A_Bshuf_s2,0.85,18.31,1.844,2649520732.0,83.1767,0.0021,1040164,97.9
RPP_A_Bshuf_s2,0.9,15.031,1.209,1634268634.0,52.1715,0.0013,894388,98.3
RPP_A_Bshuf_s2,0.93,12.719,0.923,1025164057.0,33.9408,0.0008,776177,98.5
RPP_A_Bshuf_s2,0.95,10.791,0.754,730932899.0,24.6251,0.0006,669056,98.8
RPP_A_Bshuf_s2,0.97,8.154,0.467,331533934.0,10.4706,0.0003,504928,99.1
RPP_A_Bshuf_s2,0.99,3.122,0.035,157680241.0,3.877,0.0001,172864,99.8
