group,n,ece_top,ece_none,ece_split,ece_rest
all,63963,0.04,0.17361,0.06495,0.10866
dim16,43963,0.05238,0.21681,0.09487,0.1241
dim32,15200,0.01473,0.10042,0.03773,0.06496
dim64,4800,0.01887,0.06447,0.11575,0.12543
