pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
H9a_cw,0.5,32.471,2.91,20067701315.0,214.599,0.0157,936078,98.0
H9a_cw,0.6,27.716,1.829,11948790682.0,135.8568,0.0094,858478,98.4
H9a_cw,0.7,23.227,1.022,6843659876.0,80.6104,0.0054,750149,98.8
H9a_cw,0.75,21.12,0.733,5198717187.0,57.79,0.0041,685992,99.0
H9a_cw,0.8,19.075,0.518,3762677575.0,43.1625,0.0029,616999,99.2
H9a_cw,0.85,17.024,0.346,2073402766.0,27.866,0.0016,539513,99.3
H9a_cw,0.9,14.582,0.221,674655615.0,11.6778,0.0005,446614,99.5
H9a_cw,0.93,12.355,0.154,287580233.0,6.9906,0.0002,376574,99.6
H9a_cw,0.95,9.904,0.11,151658768.0,4.1721,0.0001,320544,99.6
H9a_cw,0.97,6.116,0.063,125439796.0,2.8301,0.0001,246568,99.7
H9a_cw,0.99,2.148,0.008,19768759.0,0.6406,0.0,114867,99.9
H9c,0.5,42.555,3.054,38562381917.0,552.9421,0.0302,1164932,100.0
H9c,0.6,39.42,2.0,23204013209.0,349.5106,0.0182,1139914,100.0
H9c,0.7,36.213,1.228,13261677172.0,197.7909,0.0104,1102427,100.0
H9c,0.75,34.511,0.92,9804785181.0,148.8015,0.0077,1076268,100.0
H9c,0.8,32.636,0.659,6983597094.0,106.1946,0.0055,1043059,100.0
H9c,0.85,30.493,0.439,4893017069.0,71.2167,0.0038,994758,100.0
H9c,0.9,27.815,0.257,2597341963.0,39.9194,0.002,921880,100.0
H9c,0.93,25.765,0.168,1561081926.0,23.0117,0.0012,859869,100.0
H9c,0.95,24.029,0.118,1001269495.0,14.8008,0.0008,808195,100.0
H9c,0.97,21.685,0.067,540107804.0,6.9403,0.0004,741219,100.0
H9c,0.99,17.574,0.021,169123180.0,1.943,0.0001,631891,100.0
regret,0.5,83.049,59.984,1109285529761.0,9159.8849,0.8695,564135,94.0
regret,0.6,77.236,52.114,731850881888.0,7785.1795,0.5737,683086,94.5
regret,0.7,70.734,45.216,473158169737.0,6507.7874,0.3709,800806,94.8
regret,0.75,66.895,40.896,375508860394.0,5811.269,0.2944,864902,95.0
regret,0.8,62.181,35.456,291809248202.0,4954.2059,0.2287,930030,95.0
regret,0.85,56.36,29.408,221056954418.0,4002.1288,0.1733,983576,95.0
regret,0.9,49.246,23.398,160015882241.0,3011.3538,0.1254,1006681,94.9
regret,0.93,44.427,20.11,130189805290.0,2468.9896,0.1021,994167,94.8
regret,0.95,40.97,18.061,112448938308.0,2134.4225,0.0881,972302,94.7
regret,0.97,37.386,16.136,96894032533.0,1837.7062,0.076,938673,94.6
regret,0.99,33.705,14.313,82513578599.0,1557.5286,0.0647,893200,94.4
GNN,0.5,43.131,1.284,1709650317.0,166.728,0.0013,1259359,98.8
GNN,0.6,39.928,1.056,925539999.0,103.9287,0.0007,1205513,98.8
GNN,0.7,36.257,0.841,591628164.0,71.4715,0.0005,1140169,98.7
GNN,0.75,34.135,0.683,422197657.0,55.6287,0.0003,1089564,98.8
GNN,0.8,31.691,0.492,300109804.0,42.5144,0.0002,1018486,98.9
GNN,0.85,28.79,0.293,199904693.0,28.9062,0.0002,924164,99.2
GNN,0.9,25.22,0.15,128053726.0,18.3146,0.0001,804239,99.5
GNN,0.93,22.428,0.105,71736375.0,10.5507,0.0001,712982,99.6
GNN,0.95,20.031,0.08,58439678.0,8.7016,0.0,636825,99.7
GNN,0.97,16.706,0.036,37615775.0,5.6323,0.0,533934,99.8
GNN,0.99,11.338,0.003,21690916.0,2.9995,0.0,359018,99.9
GNN_causal,0.5,40.057,5.301,24956607302.0,522.6036,0.0196,1329973,97.8
GNN_causal,0.6,36.034,4.067,14412114654.0,322.7312,0.0113,1319715,97.8
GNN_causal,0.7,31.863,3.039,8613935897.0,194.2329,0.0068,1281733,97.8
GNN_causal,0.75,29.582,2.576,6501762670.0,147.9056,0.0051,1242851,97.8
GNN_causal,0.8,27.12,2.121,4658649909.0,104.651,0.0037,1178907,97.9
GNN_causal,0.85,24.299,1.56,3162354029.0,71.9973,0.0025,1076496,98.1
GNN_causal,0.9,20.686,0.955,1677704640.0,40.1296,0.0013,922048,98.5
GNN_causal,0.93,17.901,0.629,889566883.0,21.5541,0.0007,803732,98.9
GNN_causal,0.95,15.464,0.468,395632469.0,11.9352,0.0003,707527,99.1
GNN_causal,0.97,12.092,0.305,133858398.0,5.0596,0.0001,577452,99.3
GNN_causal,0.99,6.399,0.092,16016617.0,0.6726,0.0,332082,99.6
