tau_none,tau_split,tau_rest,node_reduction_pct,cost_reduction_pct,none_forced_wrong_pct,true_split_lost_pct,true_rect_lost_pct,rect_off_coverage_pct,rect_off_wrong_pct,label
0.50,0.70,-1.00,48.63897499654233,69.67802734283296,20.358354144628503,4.192237474040624,28.805015390603256,0.0,0.0,
0.50,0.90,-1.00,48.63897499654233,59.73454309840227,20.358354144628503,4.192237474040624,28.805015390603256,0.0,0.0,
0.70,0.70,-1.00,37.90223590924671,61.75757050905498,11.196240519875305,2.155204510398383,15.062339529629249,0.0,0.0,
0.70,0.90,-1.00,37.90223590924671,51.80980423049113,11.196240519875305,2.155204510398383,15.062339529629249,0.0,0.0,
0.80,0.70,-1.00,31.106318815131964,57.21506266022414,7.470761276384639,1.4253772073451998,9.226651641076208,0.0,0.0,
0.80,0.90,-1.00,31.106318815131964,47.262150428359924,7.470761276384639,1.4253772073451998,9.226651641076208,0.0,0.0,
0.90,0.70,-1.00,20.88670796827363,51.068334128041585,3.660124874619972,0.5304382139003446,3.5172346529905636,0.0,0.0,
0.90,0.90,-1.00,20.88670796827363,41.09711056600269,3.660124874619972,0.5304382139003446,3.5172346529905636,0.0,0.0,
0.95,0.70,-1.00,14.157557713007451,46.522285045329674,1.750018644577771,0.20923111031052113,1.2562218535197913,0.0,0.0,
0.95,0.90,-1.00,14.157557713007451,36.510682652649194,1.750018644577771,0.20923111031052113,1.2562218535197913,0.0,0.0,
0.97,0.70,-1.00,10.760266270588165,43.491671214067274,1.0789869282084368,0.14285174667165731,0.6023000218356503,0.0,0.0,
0.97,0.90,-1.00,10.760266270588165,33.438657043914844,1.0789869282084368,0.14285174667165731,0.6023000218356503,0.0,0.0,
0.99,0.70,-1.00,5.4156682020721965,37.99600385216131,0.3616729516626671,0.026012810464582037,0.11172712859270036,0.0,0.0,
0.99,0.90,-1.00,5.4156682020721965,27.84157308411839,0.3616729516626671,0.026012810464582037,0.11172712859270036,0.0,0.0,
0.99,0.70,-1.00,3.2582518024979406,35.56644404401814,0.16877024562422308,0.0036850180565884774,0.03504970047527394,0.0,0.0,
0.99,0.90,-1.00,3.2582518024979406,25.393194862811097,0.16877024562422308,0.0036850180565884774,0.03504970047527394,0.0,0.0,
1.00,0.70,-1.00,0.9721499786526516,32.87080339265648,0.036339610175090846,0.0,0.0021937434436985715,0.0,0.0,
1.00,0.90,-1.00,0.9721499786526516,22.674528887557997,0.036339610175090846,0.0,0.0021937434436985715,0.0,0.0,
