epoch,train_wloss,val_wloss,secs
0,0.975432,1.050746,100.0
1,0.869954,0.983760,101.6
2,0.821493,0.961162,101.9
3,0.792925,0.933203,99.4
4,0.772231,0.954243,101.2
5,0.754432,0.945105,99.5
6,0.735886,0.925001,99.5
7,0.716697,0.925955,99.5
8,0.694720,0.941100,99.6
9,0.669384,0.954689,99.5
10,0.639244,0.975556,99.5
11,0.602832,1.025550,99.5
12,0.559018,1.049922,99.5
13,0.509396,1.113015,99.5
14,0.454231,1.237712,99.6
