pruner,reg_frac,reg_rel,split_lost,cr_min,cr_max
random,0.61248,966.12871,18.2669,1.83299,66.95242
variance,0.05977,221.78364,13.10441,5.84502,84.94565
pixels24,0.01548,30.35195,4.19857,0.0,38.48336
H9a,0.00608,24.81011,2.16387,4.92545,41.87518
H9a_cw,0.00876,24.71789,1.99283,2.17314,34.61395
H9c,0.0025,6.80003,0.37269,18.96124,44.37133
regret,nan,nan,nan,34.03704,82.93477
GNN,0.00015,6.30507,0.24936,12.35249,44.9445
GNN_causal,0.00351,21.8865,2.40182,6.80604,41.81017
