epoch,train_wloss,val_wloss,secs
0,0.952685,1.022945,278.9
1,0.833752,0.939543,278.5
2,0.786080,0.925221,277.8
3,0.762280,0.912891,277.8
4,0.744031,0.905372,277.7
5,0.727673,0.907000,144.0
6,0.710557,0.903984,113.4
7,0.692303,0.908862,112.3
8,0.671410,0.928223,109.3
9,0.646687,0.925376,109.1
10,0.616862,0.953276,109.0
11,0.581429,0.980081,109.0
12,0.537271,1.015146,108.9
13,0.486773,1.086693,108.8
14,0.428091,1.173051,108.8
